estacion_origen,estacion_destino,distancia_km,tiempo_conduccion_min
1 Autobus geltokia - Estación de autobuses,2 Leizaola plaza - Plaza de Leizaola,3.48,12.8
1 Autobus geltokia - Estación de autobuses,3 Ballester apezpikua - Obispo Ballester,2.98,9.4
1 Autobus geltokia - Estación de autobuses,4 Antso Jakituna - Sancho el Sabio,2.86,10.8
1 Autobus geltokia - Estación de autobuses,5 Mendizorrotza - Mendizorroza,3.04,13.9
1 Autobus geltokia - Estación de autobuses,6 Unibertsitatea - Universidad,3.69,13.9
1 Autobus geltokia - Estación de autobuses,7 Salburuko gizarte-etxea - C.C. Salburua,4.26,14.5
1 Autobus geltokia - Estación de autobuses,8 Tren geltokia - Estación de Tren,3.61,13.0
1 Autobus geltokia - Estación de autobuses,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,2.02,8.4
1 Autobus geltokia - Estación de autobuses,10 AUO - HUA,0.87,5.5
1 Autobus geltokia - Estación de autobuses,11 San Martin (Udala) - Ayuntamiento San Martín,2.56,9.8
1 Autobus geltokia - Estación de autobuses,12 Zabalganeko gizarte-etxea - CC Zabalgana,3.64,10.9
2 Leizaola plaza - Plaza de Leizaola,1 Autobus geltokia - Estación de autobuses,3.19,12.9
2 Leizaola plaza - Plaza de Leizaola,3 Ballester apezpikua - Obispo Ballester,3.4,11.8
2 Leizaola plaza - Plaza de Leizaola,4 Antso Jakituna - Sancho el Sabio,0.78,3.9
2 Leizaola plaza - Plaza de Leizaola,5 Mendizorrotza - Mendizorroza,1.81,10.0
2 Leizaola plaza - Plaza de Leizaola,6 Unibertsitatea - Universidad,1.61,6.9
2 Leizaola plaza - Plaza de Leizaola,7 Salburuko gizarte-etxea - C.C. Salburua,4.83,15.3
2 Leizaola plaza - Plaza de Leizaola,8 Tren geltokia - Estación de Tren,1.54,6.0
2 Leizaola plaza - Plaza de Leizaola,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4.3,18.6
2 Leizaola plaza - Plaza de Leizaola,10 AUO - HUA,3.15,15.6
2 Leizaola plaza - Plaza de Leizaola,11 San Martin (Udala) - Ayuntamiento San Martín,1.83,7.9
2 Leizaola plaza - Plaza de Leizaola,12 Zabalganeko gizarte-etxea - CC Zabalgana,3.22,12.4
3 Ballester apezpikua - Obispo Ballester,1 Autobus geltokia - Estación de autobuses,2.37,8.0
3 Ballester apezpikua - Obispo Ballester,2 Leizaola plaza - Plaza de Leizaola,2.19,8.6
3 Ballester apezpikua - Obispo Ballester,4 Antso Jakituna - Sancho el Sabio,2.58,9.2
3 Ballester apezpikua - Obispo Ballester,5 Mendizorrotza - Mendizorroza,4.01,16.3
3 Ballester apezpikua - Obispo Ballester,6 Unibertsitatea - Universidad,3.05,12.0
3 Ballester apezpikua - Obispo Ballester,7 Salburuko gizarte-etxea - C.C. Salburua,2.13,7.2
3 Ballester apezpikua - Obispo Ballester,8 Tren geltokia - Estación de Tren,2.31,7.9
3 Ballester apezpikua - Obispo Ballester,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4.14,16.0
