hora,bicis_promedio,bicis_minimas,pct_disponibilidad_media,bicis_en_uso_promedio
0,50.49636803874092,31,73.18314208513176,18.50363196125908
1,50.78758949880668,33,73.6052021721836,18.212410501193318
2,51.26904761904762,32,74.30296756383713,17.73095238095238
3,51.3,31,74.34782608695653,17.7
4,50.142857142857146,31,72.67080745341615,18.857142857142858
5,49.30714285714286,28,71.45962732919254,19.692857142857143
6,49.24285714285714,29,71.36645962732919,19.757142857142856
7,49.79611650485437,35,72.168284789644,19.203883495145632
8,51.80049261083744,41,75.07317769686586,17.199507389162562
9,51.81733021077283,40,75.0975800156128,17.182669789227166
10,51.14351851851852,40,74.12104133118626,17.85648148148148
11,50.64485981308411,37,73.39834755519436,18.35514018691589
12,51.71190476190476,43,74.9447895100069,17.288095238095238
13,51.84651162790698,40,75.13987192450287,17.153488372093022
14,51.52777777777778,37,74.6779388083736,17.47222222222222
15,50.604166666666664,37,73.33937198067632,18.395833333333332
16,49.99768518518518,33,72.46041331186258,19.002314814814813
17,49.30210772833723,29,71.45233004106846,19.697892271662763
18,49.776978417266186,32,72.14054843082056,19.223021582733814
19,50.285714285714285,28,72.87784679089026,18.714285714285715
20,51.434052757793765,42,74.54210544607791,17.565947242206235
21,50.464285714285715,35,73.13664596273291,18.535714285714285
22,49.03333333333333,30,71.06280193236715,19.966666666666665
23,49.92601431980907,31,72.3565424924769,19.07398568019093
