Fecha,20:00 PM (-8h),04:00 AM (Central),12:00 PM (+8h),Promedio Ventana,Critico 4 AM,Critico Promedio Ventana,Deficit Sostenido (3 Puntos)
2026-06-20,46,46,49,47.0,False,False,False
2026-06-21,50,46,46,47.3,False,False,False
2026-06-22,45,46,49,46.7,False,False,False
2026-06-23,45,50,47,47.3,False,False,False
2026-06-24,42,36,46,41.3,True,True,False
2026-06-25,49,44,44,45.7,False,False,False
2026-06-26,47,42,49,46.0,True,False,False
2026-06-27,44,49,51,48.0,False,False,False
2026-06-28,47,46,48,47.0,False,False,False
2026-06-29,47,51,50,49.3,False,False,False
2026-06-30,44,54,51,49.7,False,False,False
2026-07-01,52,51,54,52.3,False,False,False
2026-07-02,50,52,50,50.7,False,False,False
2026-07-03,47,45,52,48.0,False,False,False
2026-07-04,53,51,50,51.3,False,False,False
2026-07-05,34,45,43,40.7,False,True,False
2026-07-06,52,54,52,52.7,False,False,False
2026-07-07,47,46,52,48.3,False,False,False
2026-07-08,52,56,48,52.0,False,False,False
2026-07-09,53,53,53,53.0,False,False,False
2026-07-10,50,52,54,52.0,False,False,False
2026-07-11,51,42,52,48.3,True,False,False
2026-07-12,32,37,45,38.0,True,True,False
2026-07-13,39,50,59,49.3,False,False,False
2026-07-14,55,62,56,57.7,False,False,False
2026-07-15,55,59,58,57.3,False,False,False
2026-07-16,51,59,59,56.3,False,False,False
2026-07-17,56,62,58,58.7,False,False,False
2026-07-18,60,61,62,61.0,False,False,False
2026-07-19,59,58,55,57.3,False,False,False
2026-07-20,56,57,58,57.0,False,False,False
2026-07-21,51,60,56,55.7,False,False,False
2026-07-22,54,62,56,57.3,False,False,False
2026-07-23,58,58,53,56.3,False,False,False
2026-07-24,51,58,54,54.3,False,False,False
