fecha,bicis_observadas_4am,bicis_min_observadas_4am,bicis_max_observadas_4am,bicis_operativas_4am,bicis_min_4am,bicis_max_4am,pct_flota_operativa,cumple_85_pct,bicis_fuera_de_servicio
2026-06-20,47.0,46,50,47.0,46,50,94.0,True,3.0
2026-06-21,45.0,41,48,45.0,41,48,90.0,True,5.0
2026-06-22,47.0,43,49,47.0,43,49,94.0,True,3.0
2026-06-23,50.0,49,50,50.0,49,50,100.0,True,0.0
2026-06-24,41.0,35,43,41.0,35,43,82.0,False,9.0
2026-06-25,44.0,42,46,44.0,42,46,88.0,True,6.0
2026-06-26,42.0,41,44,42.0,41,44,84.0,False,8.0
2026-06-27,47.0,45,49,47.0,45,49,94.0,True,3.0
2026-06-28,41.0,40,45,41.0,40,45,82.0,False,9.0
2026-06-29,52.0,51,52,50.0,50,50,100.0,True,0.0
2026-06-30,51.0,49,53,50.0,49,50,100.0,True,0.0
2026-07-01,51.0,49,53,50.0,49,50,100.0,True,0.0
2026-07-02,51.0,48,52,50.0,48,50,100.0,True,0.0
2026-07-03,44.0,36,47,44.0,36,47,88.0,True,6.0
2026-07-04,50.0,49,53,50.0,49,50,100.0,True,0.0
2026-07-05,48.0,46,51,48.0,46,50,96.0,True,2.0
2026-07-06,52.0,51,54,50.0,50,50,100.0,True,0.0
2026-07-07,49.0,41,50,49.0,41,50,98.0,True,1.0
2026-07-08,55.0,50,56,50.0,50,50,100.0,True,0.0
2026-07-09,55.0,52,56,50.0,50,50,100.0,True,0.0
2026-07-10,51.0,46,51,50.0,46,50,100.0,True,0.0
2026-07-11,48.0,46,51,48.0,46,50,96.0,True,2.0
2026-07-12,34.0,31,37,34.0,31,37,68.0,False,16.0
2026-07-13,48.0,46,51,48.0,46,50,96.0,True,2.0
2026-07-14,62.0,61,62,50.0,50,50,100.0,True,0.0
2026-07-15,62.0,60,62,50.0,50,50,100.0,True,0.0
2026-07-16,59.0,57,59,50.0,50,50,100.0,True,0.0
2026-07-17,60.0,58,63,50.0,50,50,100.0,True,0.0
2026-07-18,55.0,52,56,50.0,50,50,100.0,True,0.0
2026-07-19,59.0,58,61,50.0,50,50,100.0,True,0.0
2026-07-20,57.0,52,60,50.0,50,50,100.0,True,0.0
2026-07-21,57.0,56,60,50.0,50,50,100.0,True,0.0
2026-07-22,59.0,58,62,50.0,50,50,100.0,True,0.0
2026-07-23,58.0,56,60,50.0,50,50,100.0,True,0.0
2026-07-24,54.0,50,56,50.0,50,50,100.0,True,0.0
2026-07-25,62.0,57,64,50.0,50,50,100.0,True,0.0
2026-07-26,70.0,65,72,50.0,50,50,100.0,True,0.0
2026-07-27,72.0,60,72,50.0,50,50,100.0,True,0.0
2026-07-28,70.0,68,71,50.0,50,50,100.0,True,0.0
2026-07-29,70.0,67,73,50.0,50,50,100.0,True,0.0
2026-07-30,71.0,66,73,50.0,50,50,100.0,True,0.0
2026-07-31,67.0,66,68,50.0,50,50,100.0,True,0.0
2026-08-01,69.0,68,71,50.0,50,50,100.0,True,0.0
