Estación,Horas Inútil (Sin Sistema),Horas Inútil (Con ML),% Inactiva (Sin Sistema),% Inactiva (Con ML),% Mejora
5 Mendizorrotza - Mendizorroza,613.1,371.7,31.0,18.79,39.4
6 Unibertsitatea - Universidad,492.6,529.5,24.9,26.77,-7.5
12 Zabalganeko gizarte-etxea - CC Zabalgana,434.2,350.5,21.95,17.72,19.3
8 Tren geltokia - Estación de Tren,415.1,441.1,20.98,22.3,-6.3
10 AUO - HUA,387.5,282.4,19.59,14.28,27.1
7 Salburuko gizarte-etxea - C.C. Salburua,382.5,233.0,19.34,11.78,39.1
9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,380.8,388.2,19.25,19.63,-2.0
11 San Martin (Udala) - Ayuntamiento San Martín,306.7,189.5,15.51,9.58,38.2
4 Antso Jakituna - Sancho el Sabio,263.9,346.4,13.34,17.51,-31.3
2 Leizaola plaza - Plaza de Leizaola,259.9,380.2,13.14,19.22,-46.3
1 Autobus geltokia - Estación de autobuses,181.9,295.2,9.2,14.92,-62.3
3 Ballester apezpikua - Obispo Ballester,162.8,253.3,8.23,12.8,-55.5
