Estación,Horas Inútil (Sin Sistema),Horas Inútil (Con ML),% Inactiva (Sin Sistema),% Inactiva (Con ML),% Mejora
5 Mendizorrotza - Mendizorroza,385.2,329.8,26.55,22.73,14.4
6 Unibertsitatea - Universidad,364.1,366.2,25.09,25.24,-0.6
12 Zabalganeko gizarte-etxea - CC Zabalgana,319.7,194.8,22.03,13.42,39.1
10 AUO - HUA,304.0,169.8,20.95,11.7,44.1
7 Salburuko gizarte-etxea - C.C. Salburua,299.5,146.3,20.64,10.08,51.2
9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,259.8,254.8,17.9,17.56,1.9
8 Tren geltokia - Estación de Tren,259.8,344.7,17.9,23.75,-32.6
11 San Martin (Udala) - Ayuntamiento San Martín,180.3,135.2,12.43,9.32,25.0
4 Antso Jakituna - Sancho el Sabio,175.9,210.8,12.12,14.53,-19.8
2 Leizaola plaza - Plaza de Leizaola,163.3,208.7,11.26,14.38,-27.8
1 Autobus geltokia - Estación de autobuses,122.3,200.1,8.43,13.79,-63.6
3 Ballester apezpikua - Obispo Ballester,112.5,182.2,7.75,12.56,-61.9
